cell_name,layout_bbox,declared_boundary_bbox,non_text_bbox,conductive_bbox,active_bbox,poly_bbox,contact_bbox,m1_bbox,pwell_polygon_count,pwell_union_bbox,nwell_polygon_count,nwell_union_bbox,nimplant_polygon_count,nimplant_union_bbox,pimplant_polygon_count,pimplant_union_bbox,vdd_bbox,vss_bbox,signal_pin_bboxes
PINV_NW180_PW270_L50,"[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[0.08, 0.125, 0.555, 1.695]","[0.1025, 0.07, 0.2575, 1.75]","[0.0925, 0.1375, 0.5425, 1.6825]","[0.0, -0.0325, 0.6875, 1.8525]",5,"[-0.055, -0.0325, 0.7425, 0.8725]",5,"[-0.055, 0.8725, 0.7425, 1.855]",4,"[0.08, 0.125, 0.555, 1.695]",4,"[0.08, 0.125, 0.555, 1.695]","[0.0, 1.7875, 0.6875, 1.8525]","[0.0, -0.0325, 0.6875, 0.0325]","{""A"": [0.0725, 0.855, 0.2075, 0.92], ""Z"": [0.34, 0.855, 0.405, 0.92]}"
PINV_NW180_PW540_L50,"[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[0.08, 0.125, 0.555, 1.695]","[0.1025, 0.07, 0.2575, 1.75]","[0.0925, 0.1375, 0.5425, 1.6825]","[0.0, -0.0325, 0.6875, 1.8525]",5,"[-0.055, -0.0325, 0.7425, 0.8725]",5,"[-0.055, 0.8725, 0.7425, 1.855]",4,"[0.08, 0.125, 0.555, 1.695]",4,"[0.08, 0.125, 0.555, 1.695]","[0.0, 1.7875, 0.6875, 1.8525]","[0.0, -0.0325, 0.6875, 0.0325]","{""A"": [0.0725, 0.7875, 0.2075, 0.8525], ""Z"": [0.34, 0.7875, 0.405, 0.8525]}"
PINV_NW2430_PW7290_L50,"[-0.055, -0.0325, 4.0425, 1.855]","[-0.055, -0.0325, 4.0425, 1.855]","[-0.055, -0.0325, 4.0425, 1.855]","[-0.055, -0.0325, 4.0425, 1.855]","[0.08, 0.125, 3.855, 1.695]","[0.1025, 0.07, 3.5575, 1.75]","[0.0925, 0.1375, 3.8425, 1.6825]","[0.0, -0.0325, 3.9875, 1.8525]",17,"[-0.055, -0.0325, 4.0425, 0.8725]",17,"[-0.055, 0.8725, 4.0425, 1.855]",16,"[0.08, 0.125, 3.855, 1.695]",16,"[0.08, 0.125, 3.855, 1.695]","[0.0, 1.7875, 3.9875, 1.8525]","[0.0, -0.0325, 3.9875, 0.0325]","{""A"": [0.0725, 0.785, 0.2075, 0.85], ""Z"": [2.005, 0.785, 2.07, 0.85]}"
PINV_NW250_PW500_L50,"[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[0.08, 0.125, 0.555, 1.695]","[0.1025, 0.07, 0.2575, 1.75]","[0.0925, 0.1375, 0.5425, 1.6825]","[0.0, -0.0325, 0.6875, 1.8525]",5,"[-0.055, -0.0325, 0.7425, 0.8725]",5,"[-0.055, 0.8725, 0.7425, 1.855]",4,"[0.08, 0.125, 0.555, 1.695]",4,"[0.08, 0.125, 0.555, 1.695]","[0.0, 1.7875, 0.6875, 1.8525]","[0.0, -0.0325, 0.6875, 0.0325]","{""A"": [0.0725, 0.815, 0.2075, 0.88], ""Z"": [0.34, 0.815, 0.405, 0.88]}"
PINV_NW270_PW810_L50,"[-0.055, -0.0325, 1.0175, 1.855]","[-0.055, -0.0325, 1.0175, 1.855]","[-0.055, -0.0325, 1.0175, 1.855]","[-0.055, -0.0325, 1.0175, 1.855]","[0.08, 0.125, 0.83, 1.695]","[0.1025, 0.07, 0.5325, 1.75]","[0.0925, 0.1375, 0.8175, 1.6825]","[0.0, -0.0325, 0.9625, 1.8525]",6,"[-0.055, -0.0325, 1.0175, 0.8725]",6,"[-0.055, 0.8725, 1.0175, 1.855]",5,"[0.08, 0.125, 0.83, 1.695]",5,"[0.08, 0.125, 0.83, 1.695]","[0.0, 1.7875, 0.9625, 1.8525]","[0.0, -0.0325, 0.9625, 0.0325]","{""A"": [0.0725, 0.81, 0.2075, 0.875], ""Z"": [0.37, 0.81, 0.435, 0.875]}"
PINV_NW360_PW1080_L50,"[-0.055, -0.0325, 1.0175, 1.855]","[-0.055, -0.0325, 1.0175, 1.855]","[-0.055, -0.0325, 1.0175, 1.855]","[-0.055, -0.0325, 1.0175, 1.855]","[0.08, 0.125, 0.83, 1.695]","[0.1025, 0.07, 0.5325, 1.75]","[0.0925, 0.1375, 0.8175, 1.6825]","[0.0, -0.0325, 0.9625, 1.8525]",6,"[-0.055, -0.0325, 1.0175, 0.8725]",6,"[-0.055, 0.8725, 1.0175, 1.855]",5,"[0.08, 0.125, 0.83, 1.695]",5,"[0.08, 0.125, 0.83, 1.695]","[0.0, 1.7875, 0.9625, 1.8525]","[0.0, -0.0325, 0.9625, 0.0325]","{""A"": [0.0725, 0.7875, 0.2075, 0.8525], ""Z"": [0.37, 0.7875, 0.435, 0.8525]}"
PINV_NW450_PW1350_L50,"[-0.055, -0.0325, 1.2925, 1.855]","[-0.055, -0.0325, 1.2925, 1.855]","[-0.055, -0.0325, 1.2925, 1.855]","[-0.055, -0.0325, 1.2925, 1.855]","[0.08, 0.125, 1.105, 1.695]","[0.1025, 0.07, 0.8075, 1.75]","[0.0925, 0.1375, 1.0925, 1.6825]","[0.0, -0.0325, 1.2375, 1.8525]",7,"[-0.055, -0.0325, 1.2925, 0.8725]",7,"[-0.055, 0.8725, 1.2925, 1.855]",6,"[0.08, 0.125, 1.105, 1.695]",6,"[0.08, 0.125, 1.105, 1.695]","[0.0, 1.7875, 1.2375, 1.8525]","[0.0, -0.0325, 1.2375, 0.0325]","{""A"": [0.0725, 0.8025, 0.2075, 0.8675], ""Z"": [0.63, 0.8025, 0.695, 0.8675]}"
PINV_NW90_PW270_L50,"[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[-0.055, -0.0325, 0.7425, 1.855]","[0.08, 0.125, 0.555, 1.695]","[0.1025, 0.07, 0.2575, 1.75]","[0.0925, 0.1375, 0.5425, 1.6825]","[0.0, -0.0325, 0.6875, 1.8525]",5,"[-0.055, -0.0325, 0.7425, 0.8725]",5,"[-0.055, 0.8725, 0.7425, 1.855]",4,"[0.08, 0.125, 0.555, 1.695]",4,"[0.08, 0.125, 0.555, 1.695]","[0.0, 1.7875, 0.6875, 1.8525]","[0.0, -0.0325, 0.6875, 0.0325]","{""A"": [0.0725, 0.8325, 0.2075, 0.8975], ""Z"": [0.34, 0.8325, 0.405, 0.8975]}"
PINV_NW910_PW2430_L50,"[-0.055, -0.0325, 1.8425, 1.855]","[-0.055, -0.0325, 1.8425, 1.855]","[-0.055, -0.0325, 1.8425, 1.855]","[-0.055, -0.0325, 1.8425, 1.855]","[0.08, 0.125, 1.655, 1.695]","[0.1025, 0.07, 1.3575, 1.75]","[0.0925, 0.1375, 1.6425, 1.6825]","[0.0, -0.0325, 1.7875, 1.8525]",9,"[-0.055, -0.0325, 1.8425, 0.8725]",9,"[-0.055, 0.8725, 1.8425, 1.855]",8,"[0.08, 0.125, 1.655, 1.695]",8,"[0.08, 0.125, 1.655, 1.695]","[0.0, 1.7875, 1.7875, 1.8525]","[0.0, -0.0325, 1.7875, 0.0325]","{""A"": [0.0725, 0.8025, 0.2075, 0.8675], ""Z"": [0.905, 0.8025, 0.97, 0.8675]}"
TRANSMISSION_GATE_NW250_PW500_L50,"[-0.055, -0.0325, 0.7425, 1.8525]","[-0.055, -0.0325, 0.7425, 1.8525]","[-0.055, -0.0325, 0.7425, 1.8525]","[-0.055, -0.0325, 0.7425, 1.8525]","[0.08, 0.17, 0.555, 1.65]","[0.2075, 0.115, 0.6875, 1.705]","[0.0925, 0.1825, 0.6825, 1.6375]","[0.0, -0.0325, 0.7175, 1.8525]",5,"[-0.055, -0.0325, 0.7425, 0.8725]",5,"[-0.055, 0.8725, 0.7425, 1.8525]",4,"[0.08, 0.17, 0.555, 1.65]",4,"[0.08, 0.17, 0.555, 1.65]","[0.0, 1.7875, 0.56, 1.8525]","[0.0, -0.0325, 0.56, 0.0325]","{""CTR_N"": [0.5825, 0.48, 0.7175, 0.545], ""CTR_P"": [0.5825, 1.025, 0.7175, 1.09], ""IN"": [0.0925, 0.2275, 0.1575, 1.4675], ""OUT"": [0.3075, 0.2275, 0.3725, 1.4675]}"
