instance,bit_index,x,y,row,orientation,source_gds,source_sha
sense_amp_0,0,0.035,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_1,1,0.74,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_2,2,1.445,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_3,3,2.15,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_4,4,2.855,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_5,5,3.56,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_6,6,4.265,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_7,7,4.97,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_8,8,5.675,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_9,9,6.38,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_10,10,7.085,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_11,11,7.79,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_12,12,8.495,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_13,13,9.2,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_14,14,9.905,0.0,0,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
sense_amp_15,15,10.61,8.01,1,R0,technology/freepdk45/gds_lib/sense_amp.gds,ebcc477d334a36aab42b63b39c88b69dfd102fa143591d7789184492dd869634
